"ts","T","RH","prec","intens","press","entry_id"
"2026-02-24 18:10:00",13.53,74.02,0,0,979.8,1
"2026-02-24 18:20:00",13.03,75.47,0,0,979.89,2
"2026-02-24 18:30:00",12.84,75.51,0,0,979.95,3
"2026-02-24 18:40:00",12.73,75.51,0,0,980.03,4
"2026-02-24 18:50:00",12.45,76.6,0,0,980.11,5
"2026-02-24 19:00:00",12.36,77.35,0,0,980.19,6
"2026-02-24 19:10:00",12.01,78.7,0,0,980.28,7
"2026-02-24 19:20:00",11.75,79.6,0,0,980.37,8
"2026-02-24 19:30:00",11.87,78.7,0,0,980.42,9
"2026-02-24 19:40:00",11.67,79.71,0,0,980.46,10
"2026-02-24 19:50:00",11.71,79.28,0,0,980.49,11
"2026-02-24 20:00:00",11.61,79.45,0,0,980.54,12
"2026-02-24 20:10:00",11.46,80.44,0,0,980.6,13
"2026-02-24 20:20:00",11.26,81.17,0,0,980.67,14
"2026-02-24 20:30:00",11.49,80.02,0,0,980.73,15
"2026-02-24 20:40:00",11.22,81.18,0,0,980.77,16
"2026-02-24 20:50:00",10.91,81.88,0,0,980.84,17
"2026-02-24 21:00:00",10.77,82.42,0,0,980.93,18
"2026-02-24 21:10:00",10.43,84.07,0,0,981.02,19
"2026-02-24 21:20:00",10.36,84.42,0,0,981.11,20
"2026-02-24 21:30:00",10.17,85.17,0,0,981.2,21
"2026-02-24 21:40:00",10.06,85.6,0,0,981.29,22
"2026-02-24 21:50:00",10.13,85.88,0,0,981.36,23
"2026-02-24 22:00:00",9.89,86,0,0,981.45,24
"2026-02-24 22:10:00",9.79,86.65,0,0,981.51,25
"2026-02-24 22:20:01",9.77,86.69,0,0,981.58,26
"2026-02-24 22:30:00",9.78,86.5,0,0,981.63,27
"2026-02-24 22:40:00",9.72,86.61,0,0,981.71,28
"2026-02-24 22:50:00",9.59,87.08,0,0,981.78,29
"2026-02-24 23:00:04",9.54,87.23,0,0,981.86,30
"2026-02-24 23:10:00",9.45,87.71,0,0,981.93,31
"2026-02-24 23:20:00",9.4,87.76,0,0,981.98,32
"2026-02-24 23:30:00",9.41,88.13,0,0,982.03,33
"2026-02-24 23:40:00",9.28,88.23,0,0,982.09,34
"2026-02-24 23:50:00",9.3,88.55,0,0,982.13,35
"2026-02-25 00:00:00",9.15,88.72,0,0,982.16,36
"2026-02-25 00:10:00",9.17,89.76,0,0,982.2,37
"2026-02-25 00:20:00",9.23,89.3,0,0,982.23,38
"2026-02-25 00:30:00",9.15,89.78,0,0,982.3,39
"2026-02-25 00:40:00",9.2,90.14,0,0,982.36,40
