created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2026-02-24T18:10:00+01:00,1,13.53,74.02,0.000,0.000,979.80,,,,
2026-02-24T18:20:00+01:00,2,13.03,75.47,0.000,0.000,979.89,,,,
2026-02-24T18:30:00+01:00,3,12.84,75.51,0.000,0.000,979.95,,,,
2026-02-24T18:40:00+01:00,4,12.73,75.51,0.000,0.000,980.03,,,,
2026-02-24T18:50:00+01:00,5,12.45,76.60,0.000,0.000,980.11,,,,
2026-02-24T19:00:00+01:00,6,12.36,77.35,0.000,0.000,980.19,,,,
2026-02-24T19:10:00+01:00,7,12.01,78.70,0.000,0.000,980.28,,,,
2026-02-24T19:20:00+01:00,8,11.75,79.60,0.000,0.000,980.37,,,,
2026-02-24T19:30:00+01:00,9,11.87,78.70,0.000,0.000,980.42,,,,
2026-02-24T19:40:00+01:00,10,11.67,79.71,0.000,0.000,980.46,,,,
2026-02-24T19:50:00+01:00,11,11.71,79.28,0.000,0.000,980.49,,,,
2026-02-24T20:00:00+01:00,12,11.61,79.45,0.000,0.000,980.54,,,,
2026-02-24T20:10:00+01:00,13,11.46,80.44,0.000,0.000,980.60,,,,
2026-02-24T20:20:00+01:00,14,11.26,81.17,0.000,0.000,980.67,,,,
2026-02-24T20:30:00+01:00,15,11.49,80.02,0.000,0.000,980.73,,,,
2026-02-24T20:40:00+01:00,16,11.22,81.18,0.000,0.000,980.77,,,,
2026-02-24T20:50:00+01:00,17,10.91,81.88,0.000,0.000,980.84,,,,
2026-02-24T21:00:00+01:00,18,10.77,82.42,0.000,0.000,980.93,,,,
2026-02-24T21:10:00+01:00,19,10.43,84.07,0.000,0.000,981.02,,,,
2026-02-24T21:20:00+01:00,20,10.36,84.42,0.000,0.000,981.11,,,,
2026-02-24T21:30:00+01:00,21,10.17,85.17,0.000,0.000,981.20,,,,
2026-02-24T21:40:00+01:00,22,10.06,85.60,0.000,0.000,981.29,,,,
2026-02-24T21:50:00+01:00,23,10.13,85.88,0.000,0.000,981.36,,,,
2026-02-24T22:00:00+01:00,24,9.89,86.00,0.000,0.000,981.45,,,,
2026-02-24T22:10:00+01:00,25,9.79,86.65,0.000,0.000,981.51,,,,
2026-02-24T22:20:01+01:00,26,9.77,86.69,0.000,0.000,981.58,,,,
2026-02-24T22:30:00+01:00,27,9.78,86.50,0.000,0.000,981.63,,,,
2026-02-24T22:40:00+01:00,28,9.72,86.61,0.000,0.000,981.71,,,,
2026-02-24T22:50:00+01:00,29,9.59,87.08,0.000,0.000,981.78,,,,
2026-02-24T23:00:04+01:00,30,9.54,87.23,0.000,0.000,981.86,,,,
2026-02-24T23:10:00+01:00,31,9.45,87.71,0.000,0.000,981.93,,,,
2026-02-24T23:20:00+01:00,32,9.40,87.76,0.000,0.000,981.98,,,,
2026-02-24T23:30:00+01:00,33,9.41,88.13,0.000,0.000,982.03,,,,
2026-02-24T23:40:00+01:00,34,9.28,88.23,0.000,0.000,982.09,,,,
2026-02-24T23:50:00+01:00,35,9.30,88.55,0.000,0.000,982.13,,,,
2026-02-25T00:00:00+01:00,36,9.15,88.72,0.000,0.000,982.16,,,,
2026-02-25T00:10:00+01:00,37,9.17,89.76,0.000,0.000,982.20,,,,
2026-02-25T00:20:00+01:00,38,9.23,89.30,0.000,0.000,982.23,,,,
2026-02-25T00:30:00+01:00,39,9.15,89.78,0.000,0.000,982.30,,,,
2026-02-25T00:40:00+01:00,40,9.20,90.14,0.000,0.000,982.36,,,,
2026-02-25T00:50:00+01:00,41,9.12,89.70,0.000,0.000,982.45,,,,
2026-02-25T01:00:00+01:00,42,8.98,90.32,0.000,0.000,982.54,,,,
2026-02-25T01:10:00+01:00,43,9.03,90.33,0.000,0.000,982.63,,,,
2026-02-25T01:20:00+01:00,44,9.00,89.49,0.000,0.000,982.71,,,,
2026-02-25T01:30:00+01:00,45,8.92,89.56,0.000,0.000,982.75,,,,
2026-02-25T01:40:00+01:00,46,8.90,89.24,0.000,0.000,982.77,,,,
